Name;Kategorie;Zutaten;Zubereitung;Portionen;Kalorien;Eiweiß;Kohlenhydrate;Fett
Schwarzwälder Kirschtorte #32;Suppe;Schwarzwälder Kirschtorte, Knoblauch, Olivenöl, Milch, Petersilie, Käse;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;619;20;58;34
Erbsensuppe #33;Frühstück;Erbsensuppe, Zimt, Mehl, Brühe, Karotte, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;358;31;33;11
Gulasch #34;Reis;Gulasch, Käse, Mehl, Milch, Apfel, Porree;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;284;16;12;19
Schweinebraten #35;Pasta;Schweinebraten, Mehl, Milch, Olivenöl, Brühe, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;472;20;35;28
Schnitzel #36;Frühstück;Schnitzel, Zwiebel, Milch, Senf, Apfel, Karotte;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;547;10;84;19
Schweinebraten #37;Frühstück;Schweinebraten, Mehl, Paprika, Tomate, Porree, Milch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;818;44;88;32
Eintopf #38;Salat;Eintopf, Knoblauch, Petersilie, Karotte, Porree, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;693;31;77;29
Erbsensuppe #39;Reis;Erbsensuppe, Sahne, Olivenöl, Mehl, Knoblauch, Gurke;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;639;35;68;25
Kartoffelsalat #40;Vegan;Kartoffelsalat, Senf, Käse, Milch, Vanille, Karotte;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;435;38;7;28
Kartoffelpuffer #41;Fischgericht;Kartoffelpuffer, Gurke, Porree, Karotte, Zwiebel, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;549;19;102;7
Schwarzwälder Kirschtorte #42;Beilage;Schwarzwälder Kirschtorte, Brühe, Sahne, Butter, Zimt, Ei;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;608;7;75;31
Spätzle #43;Vegan;Spätzle, Ei, Karotte, Senf, Tomate, Mehl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;531;25;65;19
Kartoffelpuffer #44;Pfannengericht;Kartoffelpuffer, Tomate, Paprika, Zitrone, Zimt, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;526;24;58;22
Sauerkraut #45;Vegan;Sauerkraut, Senf, Ei, Mehl, Tomate, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;616;25;86;19
Kartoffelsuppe #46;Pfannengericht;Kartoffelsuppe, Butter, Porree, Käse, Petersilie, Mehl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;723;27;88;29
Apfelstrudel #47;Salat;Apfelstrudel, Ei, Petersilie, Brühe, Vanille, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;822;37;103;29
Schwarzwälder Kirschtorte #48;Vegetarisch;Schwarzwälder Kirschtorte, Ei, Butter, Senf, Tomate, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;518;11;64;24
Kartoffelsuppe #49;Beilage;Kartoffelsuppe, Sellerie, Milch, Porree, Olivenöl, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;832;19;162;12
Rinderroulade #50;Suppe;Rinderroulade, Vanille, Käse, Sahne, Olivenöl, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;359;26;36;12
Schweinebraten #51;Nachtisch;Schweinebraten, Tomate, Sahne, Sellerie, Vanille, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;366;17;25;22
Schwarzwälder Kirschtorte #52;Suppe;Schwarzwälder Kirschtorte, Zitrone, Vanille, Senf, Mehl, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;429;39;0;33
Sauerbraten #53;Reis;Sauerbraten, Zimt, Knoblauch, Petersilie, Olivenöl, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;600;45;48;25
Sauerkraut #54;Suppe;Sauerkraut, Sahne, Ei, Apfel, Zimt, Vanille;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;767;44;91;25
Frikadellen #55;Pasta;Frikadellen, Zwiebel, Mehl, Butter, Gurke, Vanille;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;728;25;98;26
Erbsensuppe #56;Reis;Erbsensuppe, Ei, Paprika, Sahne, Mehl, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;769;12;139;18
Frikadellen #57;Nachtisch;Frikadellen, Knoblauch, Käse, Milch, Zitrone, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;296;41;3;13
Gulasch #58;Fischgericht;Gulasch, Brühe, Porree, Mehl, Ei, Olivenöl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;617;24;103;12
Käsespätzle #59;Hauptgericht;Käsespätzle, Butter, Sahne, Knoblauch, Mehl, Zimt;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;523;23;29;35
Schwarzwälder Kirschtorte #60;Beilage;Schwarzwälder Kirschtorte, Milch, Knoblauch, Sellerie, Karotte, Olivenöl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;301;37;0;26
Frikadellen #61;Nachtisch;Frikadellen, Butter, Milch, Porree, Zwiebel, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;407;37;44;9
Käsespätzle #62;Reis;Käsespätzle, Mehl, Apfel, Ei, Käse, Milch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;622;40;52;28
Frikadellen #63;Fischgericht;Frikadellen, Zwiebel, Mehl, Petersilie, Vanille, Ei;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;717;20;89;31
Käsespätzle #64;Pfannengericht;Käsespätzle, Zwiebel, Butter, Ei, Mehl, Milch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;300;32;0;22
Schwarzwälder Kirschtorte #65;Vegan;Schwarzwälder Kirschtorte, Mehl, Zitrone, Tomate, Olivenöl, Paprika;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;589;17;67;28
Bratkartoffeln #66;Nachtisch;Bratkartoffeln, Sahne, Sellerie, Ei, Porree, Mehl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;587;5;105;16
Schweinebraten #67;Beilage;Schweinebraten, Porree, Brühe, Tomate, Paprika, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;456;26;20;30
Linsensuppe #68;Reis;Linsensuppe, Zwiebel, Senf, Zimt, Vanille, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;838;29;113;30
Maultaschen #69;Pfannengericht;Maultaschen, Karotte, Porree, Zwiebel, Paprika, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;363;13;57;9
Kartoffelsuppe #70;Hauptgericht;Kartoffelsuppe, Olivenöl, Porree, Tomate, Käse, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;824;32;126;21
Schweinebraten #71;Pfannengericht;Schweinebraten, Sahne, Paprika, Milch, Mehl, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;780;43;93;26
Schnitzel #72;Fischgericht;Schnitzel, Sahne, Brühe, Käse, Karotte, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;475;43;26;22
Gulasch #73;Frühstück;Gulasch, Karotte, Knoblauch, Zimt, Brühe, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;781;6;133;25
Schwarzwälder Kirschtorte #74;Curry;Schwarzwälder Kirschtorte, Petersilie, Milch, Käse, Knoblauch, Zwiebel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;529;24;94;6
Frikadellen #75;Frühstück;Frikadellen, Sellerie, Milch, Brühe, Gurke, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;575;22;94;12
Brezel #76;Suppe;Brezel, Sellerie, Zitrone, Porree, Brühe, Zwiebel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;403;14;28;26
Linsensuppe #77;Vegetarisch;Linsensuppe, Paprika, Milch, Petersilie, Zitrone, Mehl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;812;8;136;26
Sauerkraut #78;Reis;Sauerkraut, Gurke, Senf, Knoblauch, Paprika, Vanille;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;404;26;23;23
Schwarzwälder Kirschtorte #79;Fischgericht;Schwarzwälder Kirschtorte, Butter, Petersilie, Käse, Paprika, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;442;28;30;23
Erbsensuppe #80;Suppe;Erbsensuppe, Gurke, Paprika, Zimt, Sellerie, Zwiebel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;449;19;39;24
Kartoffelsalat #81;Pfannengericht;Kartoffelsalat, Brühe, Gurke, Paprika, Ei, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;433;40;0;30
Schnitzel #82;Salat;Schnitzel, Tomate, Butter, Vanille, Milch, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;451;39;44;13
Kartoffelpuffer #83;Curry;Kartoffelpuffer, Zimt, Senf, Käse, Porree, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;375;10;14;31
Leberknödel #84;Vegetarisch;Leberknödel, Sahne, Vanille, Paprika, Tomate, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;382;36;37;10
Erbsensuppe #85;Pasta;Erbsensuppe, Gurke, Porree, Paprika, Knoblauch, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;367;43;0;22
Spätzle #86;Vegetarisch;Spätzle, Zwiebel, Porree, Tomate, Karotte, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;748;10;127;22
Apfelstrudel #87;Reis;Apfelstrudel, Porree, Sellerie, Olivenöl, Gurke, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;321;25;1;24
Erbsensuppe #88;Frühstück;Erbsensuppe, Olivenöl, Milch, Knoblauch, Ei, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;296;9;20;20
Schwarzwälder Kirschtorte #89;Hauptgericht;Schwarzwälder Kirschtorte, Petersilie, Knoblauch, Senf, Karotte, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;366;7;48;16
Rinderroulade #90;Beilage;Rinderroulade, Mehl, Paprika, Porree, Gurke, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;448;24;43;20
Schnitzel #91;Salat;Schnitzel, Brühe, Milch, Olivenöl, Paprika, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;778;41;131;10
Linsensuppe #92;Vegan;Linsensuppe, Tomate, Zimt, Apfel, Karotte, Ei;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;599;43;43;28
Schnitzel #93;Pasta;Schnitzel, Mehl, Zimt, Apfel, Sellerie, Paprika;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;839;29;129;23
Rinderroulade #94;Curry;Rinderroulade, Karotte, Vanille, Zitrone, Sellerie, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;497;25;54;20
Brezel #95;Fischgericht;Brezel, Vanille, Petersilie, Brühe, Tomate, Porree;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;503;43;10;32
Apfelstrudel #96;Curry;Apfelstrudel, Petersilie, Zwiebel, Porree, Knoblauch, Karotte;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;510;34;68;11
Käsespätzle #97;Suppe;Käsespätzle, Tomate, Zwiebel, Zimt, Apfel, Milch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;806;23;156;10
Linsensuppe #98;Pasta;Linsensuppe, Vanille, Porree, Apfel, Sellerie, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;301;44;0;23
Käsekuchen #99;Fischgericht;Käsekuchen, Apfel, Zwiebel, Mehl, Sahne, Petersilie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;455;8;40;29
Kartoffelsalat #100;Curry;Kartoffelsalat, Zwiebel, Zimt, Brühe, Vanille, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;518;20;66;19
Schweinebraten #101;Curry;Schweinebraten, Gurke, Zimt, Tomate, Butter, Vanille;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;611;26;61;29
Schwarzwälder Kirschtorte #102;Suppe;Schwarzwälder Kirschtorte, Zimt, Apfel, Brühe, Käse, Olivenöl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;454;44;20;22
Kartoffelsalat #103;Reis;Kartoffelsalat, Sahne, Petersilie, Karotte, Vanille, Zwiebel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;781;45;136;6
Käsespätzle #104;Reis;Käsespätzle, Brühe, Petersilie, Butter, Zwiebel, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;550;24;59;24
Schwarzwälder Kirschtorte #105;Nachtisch;Schwarzwälder Kirschtorte, Zitrone, Zwiebel, Knoblauch, Vanille, Käse;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;433;27;34;21
Leberknödel #106;Reis;Leberknödel, Gurke, Karotte, Vanille, Apfel, Olivenöl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;346;24;0;29
Spätzle #107;Nachtisch;Spätzle, Gurke, Petersilie, Brühe, Käse, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;529;27;49;25
Sauerkraut #108;Vegan;Sauerkraut, Zimt, Petersilie, Käse, Karotte, Senf;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;535;6;114;6
Rinderroulade #109;Fischgericht;Rinderroulade, Petersilie, Karotte, Brühe, Tomate, Olivenöl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;429;43;30;15
Sauerkraut #110;Vegetarisch;Sauerkraut, Zwiebel, Milch, Ei, Zitrone, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;495;29;31;28
Apfelstrudel #111;Fischgericht;Apfelstrudel, Petersilie, Zwiebel, Porree, Brühe, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;286;20;2;22
Leberknödel #112;Pasta;Leberknödel, Sellerie, Paprika, Brühe, Zitrone, Olivenöl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;653;23;79;27
Maultaschen #113;Salat;Maultaschen, Zimt, Knoblauch, Vanille, Tomate, Milch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;441;44;50;7
Schwarzwälder Kirschtorte #114;Pasta;Schwarzwälder Kirschtorte, Senf, Knoblauch, Sahne, Gurke, Apfel;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;300;35;0;20
Rinderroulade #115;Vegetarisch;Rinderroulade, Senf, Mehl, Brühe, Porree, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;790;14;129;24
Erbsensuppe #116;Reis;Erbsensuppe, Petersilie, Gurke, Sahne, Tomate, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;427;44;31;14
Leberknödel #117;Beilage;Leberknödel, Apfel, Zimt, Mehl, Butter, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;501;5;93;12
